ID,merk_name
1,Alfa Romeo
2,Aston Martin
3,Audi
4,Austin
5,BMW
6,Chrysler
7,Daimler,
8,Ferrari
9,Ford
10,Honda
11,Isuzu
12,Jaguar
13,KIA
14,Mazda
15,Morris
